Iteration,Cluster Cardinality
0,24
100,24
200,24
300,24
400,27
500,27
600,28
700,28
800,28
900,28
1000,28
1100,28
1200,28
1300,28
1400,28
1500,28
1600,28
1700,28
1800,28
1900,28
2000,28
2100,28
2200,28
2300,28
2400,28
2500,28
2600,28
2700,28
2800,28
2900,28
3000,28
3100,28
3200,28
3300,28
3400,28
3500,27
3600,27
3700,27
3800,27
3900,27
4000,27
4100,27
4200,27
4300,27
4400,27
4500,27
4600,27
4700,27
4800,27
4900,27
5000,27
5100,27
5200,27
5300,27
5400,27
5500,27
5600,27
5700,27
5800,27
5900,27
6000,27
6100,27
6200,27
6300,27
6400,27
6500,27
6600,27
6700,27
6800,27
6900,27
7000,26
7100,26
7200,26
7300,26
7400,26
7500,26
7600,26
7700,26
7800,26
7900,26
8000,26
8100,26
8200,26
8300,26
8400,22
8500,22
8600,22
8700,22
8800,22
8900,8
9000,8
9100,8
9200,8
9300,8
9400,8
9500,8
9600,8
9700,8
9800,8
9900,8
10000,8
10100,8
10200,8
10300,8
10400,8
10500,8
10600,8
10700,8
10800,8
10900,8
11000,8
11100,8
11200,19
11300,19
11400,19
11500,19
11600,19
11700,19
11800,19
11900,19
12000,19
12100,19
12200,19
12300,19
12400,19
12500,19
12600,19
12700,19
12800,19
12900,18
13000,18
13100,18
13200,18
13300,18
13400,18
13500,18
13600,18
13700,18
13800,18
13900,18
14000,18
14100,18
14200,18
14300,18
14400,18
14500,18
14600,18
14700,57
14800,57
14900,57
15000,57
15100,57
15200,57
15300,57
15400,57
15500,57
15600,57
15700,57
15800,57
15900,57
16000,57
16100,57
16200,57
16300,57
16400,57
16500,57
16600,57
16700,57
16800,57
16900,57
17000,57
17100,57
17200,57
17300,56
17400,56
17500,17
17600,17
17700,17
17800,17
17900,17
18000,17
18100,17
18200,17
18300,17
18400,17
18500,17
18600,17
18700,17
18800,17
18900,17
19000,17
19100,17
19200,18
19300,18
19400,18
19500,18
19600,18
19700,18
19800,18
19900,18
20000,18
20100,18
20200,18
20300,18
20400,18
20500,18
20600,18
20700,18
20800,19
20900,19
21000,19
21100,19
21200,19
21300,19
21400,19
21500,19
21600,19
21700,19
21800,19
21900,19
22000,19
22100,19
22200,19
22300,19
22400,19
22500,19
22600,19
22700,19
22800,19
22900,19
23000,19
23100,19
23200,19
23300,19
23400,19
23500,19
23600,19
23700,19
23800,19
23900,19
24000,19
24100,19
24200,19
24300,19
24400,19
24500,19
24600,19
24700,19
24800,19
24900,19
25000,19
25100,19
25200,20
25300,21
25400,20
25500,20
25600,20
25700,20
25800,20
25900,20
26000,20
26100,20
26200,20
26300,18
26400,18
26500,18
26600,18
26700,18
26800,18
26900,18
27000,18
27100,18
27200,18
27300,18
27400,18
27500,18
27600,17
27700,17
27800,17
27900,17
28000,17
28100,17
28200,17
28300,17
28400,17
28500,17
28600,17
28700,17
28800,17
28900,17
29000,17
29100,17
29200,17
29300,17
29400,17
29500,17
29600,17
29700,17
29800,16
29900,16
30000,15
30100,15
30200,15
30300,15
30400,15
30500,15
30600,15
30700,15
30800,17
30900,17
31000,17
31100,17
31200,14
31300,14
31400,14
31500,14
31600,14
31700,14
31800,14
31900,14
32000,14
32100,14
32200,14
32300,14
32400,14
32500,14
32600,14
32700,17
32800,17
32900,17
33000,17
33100,17
33200,17
33300,17
33400,17
33500,17
33600,17
33700,17
33800,17
33900,17
34000,17
34100,17
34200,17
34300,17
34400,17
34500,17
34600,17
34700,17
34800,17
34900,17
35000,17
35100,17
35200,17
35300,17
35400,17
35500,17
35600,17
35700,17
35800,17
35900,17
36000,17
36100,17
36200,17
36300,17
36400,17
36500,18
36600,18
36700,18
36800,18
36900,18
37000,18
37100,14
37200,6
37300,6
37400,6
37500,6
37600,6
37700,6
37800,5
37900,5
38000,5
38100,5
38200,5
38300,5
38400,5
38500,5
38600,6
38700,6
38800,6
38900,6
39000,6
39100,6
39200,6
39300,6
39400,6
39500,6
39600,6
39700,6
39800,6
39900,6
40000,6
40100,6
40200,6
40300,6
40400,6
40500,6
40600,6
40700,6
40800,6
40900,6
41000,14
41100,14
41200,14
41300,14
41400,14
41500,14
41600,14
41700,14
41800,14
41900,14
42000,14
42100,14
42200,14
42300,14
42400,14
42500,14
42600,14
42700,14
42800,14
42900,14
43000,14
43100,14
43200,17
43300,17
43400,17
43500,17
43600,17
43700,17
43800,17
43900,17
44000,17
44100,17
44200,17
44300,17
44400,17
44500,17
44600,17
44700,17
44800,17
44900,17
45000,17
45100,17
45200,17
45300,17
45400,17
45500,17
45600,14
45700,14
45800,14
45900,14
46000,14
46100,14
46200,14
46300,10
46400,18
46500,18
46600,18
46700,18
46800,18
46900,18
47000,18
47100,18
47200,18
47300,18
47400,18
47500,18
47600,18
47700,18
47800,18
47900,18
48000,18
48100,18
48200,18
48300,18
48400,18
48500,18
48600,18
48700,11
48800,11
48900,11
49000,11
49100,11
49200,11
49300,11
49400,11
49500,11
49600,11
49700,11
49800,11
49900,11
50000,11
50100,11
50200,11
50300,11
50400,11
50500,11
50600,11
50700,11
50800,11
50900,11
51000,11
51100,11
51200,11
51300,11
51400,11
51500,11
51600,11
51700,11
51800,11
51900,11
52000,11
52100,11
52200,11
52300,11
52400,11
52500,11
52600,11
52700,11
52800,11
52900,11
53000,11
53100,11
53200,11
53300,11
53400,11
53500,11
53600,11
53700,11
53800,11
53900,11
54000,11
54100,11
54200,11
54300,11
54400,11
54500,11
54600,11
54700,11
54800,11
54900,11
55000,11
55100,11
55200,11
55300,11
55400,11
55500,11
55600,11
55700,11
55800,11
55900,11
56000,11
56100,11
56200,11
56300,11
56400,11
56500,11
56600,11
56700,11
56800,11
56900,11
57000,11
57100,11
57200,11
57300,11
57400,11
57500,11
57600,11
57700,11
57800,11
57900,11
58000,11
58100,11
58200,11
58300,11
58400,11
58500,11
58600,11
58700,11
58800,11
58900,11
59000,11
59100,11
59200,11
59300,11
59400,11
59500,11
59600,11
59700,11
59800,11
59900,11
60000,11
